reaction	smarts	probability
delete_cyclic_bond	[*:1]@[*:2]>>([*:1].[*:2])	1
change_bond_order	[*:1]!-[*:2]>>[*:1]-[*:2]	0.45
change_bond_order	[*;!H0:1]-[*;!H0:2]>>[*:1]=[*:2]	0.45
change_bond_order	[*:1]#[*:2]>>[*:1]=[*:2]	0.05
change_bond_order	[*;!R;!H1;!H0:1]~[*:2]>>[*:1]#[*:2]	0.05
delete_atom	[*:1]~[D1]>>[*:1]	0.25
delete_atom	[*:1]~[D2]~[*:2]>>[*:1]-[*:2]	0.25
delete_atom	[*:1]~[D3](~[*;!H0:2])~[*:3]>>[*:1]-[*:2]-[*:3]	0.25
delete_atom	[*:1]~[D4](~[*;!H0:2])(~[*;!H0:3])~[*:4]>>[*:1]-[*:2]-[*:3]-[*:4]	0.1875
delete_atom	[*:1]~[D4](~[*;!H0;!H1:2])(~[*:3])~[*:4]>>[*:1]-[*:2](-[*:3])-[*:4]	0.0625
change_atom	[#6:1]>>[#7:1]	0.0178
change_atom	[#6:1]>>[#8:1]	0.0178
change_atom	[#6:1]>>[#9:1]	0.0178
change_atom	[#6:1]>>[#15:1]	0.0178
change_atom	[#6:1]>>[#16:1]	0.0178
change_atom	[#6:1]>>[#17:1]	0.0178
change_atom	[#7:1]>>[#35:1]	0.0178
change_atom	[#7:1]>>[#6:1]	0.0178
change_atom	[#7:1]>>[#8:1]	0.0178
change_atom	[#7:1]>>[#9:1]	0.0178
change_atom	[#7:1]>>[#15:1]	0.0178
change_atom	[#7:1]>>[#16:1]	0.0178
change_atom	[#7:1]>>[#17:1]	0.0178
change_atom	[#7:1]>>[#35:1]	0.0178
change_atom	[#8:1]>>[#6:1]	0.0178
change_atom	[#8:1]>>[#7:1]	0.0178
change_atom	[#8:1]>>[#9:1]	0.0178
change_atom	[#8:1]>>[#15:1]	0.0178
change_atom	[#8:1]>>[#16:1]	0.0178
change_atom	[#8:1]>>[#17:1]	0.0178
change_atom	[#8:1]>>[#35:1]	0.0178
change_atom	[#9:1]>>[#6:1]	0.0178
change_atom	[#9:1]>>[#7:1]	0.0178
change_atom	[#9:1]>>[#8:1]	0.0178
change_atom	[#9:1]>>[#15:1]	0.0178
change_atom	[#9:1]>>[#16:1]	0.0178
change_atom	[#9:1]>>[#17:1]	0.0178
change_atom	[#9:1]>>[#35:1]	0.0178
change_atom	[#15:1]>>[#6:1]	0.0178
change_atom	[#15:1]>>[#7:1]	0.0178
change_atom	[#15:1]>>[#8:1]	0.0178
change_atom	[#15:1]>>[#9:1]	0.0178
change_atom	[#15:1]>>[#16:1]	0.0178
change_atom	[#15:1]>>[#17:1]	0.0178
change_atom	[#16:1]>>[#35:1]	0.0178
change_atom	[#16:1]>>[#6:1]	0.0178
change_atom	[#16:1]>>[#7:1]	0.0178
change_atom	[#16:1]>>[#8:1]	0.0178
change_atom	[#16:1]>>[#9:1]	0.0178
change_atom	[#16:1]>>[#15:1]	0.0178
change_atom	[#16:1]>>[#17:1]	0.0178
change_atom	[#16:1]>>[#35:1]	0.0178
change_atom	[#17:1]>>[#6:1]	0.0178
change_atom	[#17:1]>>[#7:1]	0.0178
change_atom	[#17:1]>>[#8:1]	0.0178
change_atom	[#17:1]>>[#9:1]	0.0178
change_atom	[#17:1]>>[#15:1]	0.0178
change_atom	[#17:1]>>[#16:1]	0.0178
change_atom	[#17:1]>>[#35:1]	0.0178
change_atom	[#35:1]>>[#6:1]	0.0178
change_atom	[#35:1]>>[#7:1]	0.0178
change_atom	[#35:1]>>[#8:1]	0.0178
change_atom	[#35:1]>>[#9:1]	0.0178
change_atom	[#35:1]>>[#15:1]	0.0178
change_atom	[#35:1]>>[#16:1]	0.0178
change_atom	[#35:1]>>[#17:1]	0.0178
append_atom	[*;!H0:1]>>[*:1]-C	0.0857
append_atom	[*;!H0:1]>>[*:1]-N	0.0857
append_atom	[*;!H0:1]>>[*:1]-O	0.0857
append_atom	[*;!H0:1]>>[*:1]-F	0.0857
append_atom	[*;!H0:1]>>[*:1]-P	0.0857
append_atom	[*;!H0:1]>>[*:1]-S	0.0857
append_atom	[*;!H0:1]>>[*:1]-Cl	0.0857
append_atom	[*;!H0:1]>>[*:1]-Br	0.0857
append_atom	[*;!H0;!H1:1]>>[*:1]=C	0.08
append_atom	[*;!H0;!H1:1]>>[*:1]=N	0.08
append_atom	[*;!H0;!H1:1]>>[*:1]=O	0.08
append_atom	[*;!H0;!H1:1]>>[*:1]=P	0.06
append_atom	[*;!H0;!H1:1]>>[*:1]=S	0.05
append_atom	[*;H3:1]>>[*:1]#C	0.025
append_atom	[*;H3:1]>>[*:1]#N	0.025
insert_atom	[*:1]~[*:2]>>[*:1]C[*:2]	0.12
insert_atom	[*:1]~[*:2]>>[*:1]N[*:2]	0.12
insert_atom	[*:1]~[*:2]>>[*:1]O[*:2]	0.12
insert_atom	[*:1]~[*:2]>>[*:1]P[*:2]	0.12
insert_atom	[*:1]~[*:2]>>[*:1]S[*:2]	0.12
insert_atom	[*;!H0:1]~[*:2]>>[*:1]=C-[*:2]	0.0875
insert_atom	[*;!H0:1]~[*:2]>>[*:1]=N-[*:2]	0.0875
insert_atom	[*;!H0:1]~[*:2]>>[*:1]=P-[*:2]	0.0875
insert_atom	[*;!H0:1]~[*:2]>>[*:1]=S-[*:2]	0.0875
insert_atom	[*;!R;!H1;!H0:1]~[*:2]>>[*:1]#C-[*:2]	0.05
add_ring	[*;!r;!H0:1]~[*;!r:2]~[*;!r;!H0:3]>>[*:1]1~[*:2]~[*:3]1	0.05
add_ring	[*;!r;!H0:1]~[*!r:2]~[*!r:3]~[*;!r;!H0:4]>>[*:1]1~[*:2]~[*:3]~[*:4]1	0.05
add_ring	[*;!r;!H0:1]~[*!r:2]~[*:3]~[*:4]~[*;!r;!H0:5]>>[*:1]1~[*:2]~[*:3]~[*:4]~[*:5]1	0.45
add_ring	[*;!r;!H0:1]~[*!r:2]~[*:3]~[*:4]~[*!r:5]~[*;!r;!H0:6]>>[*:1]1~[*:2]~[*:3]~[*:4]~[*:5]~[*:6]1	0.45
